id,eds_number,type,name,eds_code,
1,10,Заявка на работы,Требования не соответствующие договору управления и Постановлению Госстроя РФ № 170 от 27.09.2003,7439,5517
2,20,Заявка на работы,Работы относятся к категории капитального ремонта,7439,5517
3,30,Заявка на работы,Отзыв заявки заявителем,7439,4782
4,50,Заявка на работы,Организация не оказывает услуг подобного характера,7439,5517
5,70,Заявка на работы,Решение вопроса не в компетенции организации,7439,5517
6,90,Заявка на работы,Требования не соответствуют условиям договора управления,7439,5517
7,110,Заявка на работы,Территория не обслуживается организацией,7292,5370
8,130,Заявка на работы,Дом не обслуживается организацией,7292,5370
9,150,Заявка на работы,Отсутствие необходимых подтверждающих документов,7145,4782
10,170,Заявка на работы,Отсутствие обратной связи от Заявителя,7145,5223
11,190,Заявка на работы,Отсутствие доступа для выполнения работ,7145,5223
12,210,Заявка на работы,Отсутствие своевременной поверки приборов учета,7439,5223
13,230,Заявка на работы,Отсутствие решения общего собрания собственников по данному вопросу,7439,5223
14,250,Заявка на работы,Решение контролирующего органа,7439,5517
15,270,Заявка на работы,Прочее,7439,5223
