id,status_code,status_name,gzhi_status,
20,transferred,Ожидает принятия Ответственным,Зарегистрировано,30
21,transferred_again,Требует доработки,Требуется доработка,35
22,accepted,Не назначен исполнитель,Исполняется,40
23,assigned,Назначен исполнитель,Исполняется,40
24,completed_with_act,Выполнено с актом,Выполнено,55
25,completed_without_act,Выполнено без акта,Выполнено,55
26,closed_with_confirm,Закрыта с подтверждением,Завершено,60
27,closed_without_confirm,Закрыта без подтверждения,Завершено,60
28,not_verified,Проблема не подтверждена,Выполнено,55
29,waiting,Отложено,Исполняется,40
34,in_process,В работе,Исполняется,40
36,confirmation_operator,Ожидает подтверждения центром,Выполнено,55
37,confirmation_client,Ожидает подтверждения клиентом,Выполнено,55
38,conflict,Конфликтная,Отозвано,80
30,,Отклонена,Отклонено,70
31,,Отменена,Отозвано,80
